authors,year,host_tax_broad,host_tax_fine,symbiont_tax_broad,symbiont_tax_fine,symbiont_euk,symbiosis,endo_or_ecto,mode_of_transmission_broad,mode_of_transmission_fine,Visiting_symbiont?,host_tips_linked,host_tips_linked_corrected,host_genera,total_host_symbioint_links,host_range_link_ratio,host_range_taxonomic_breadth,symbiont_tips_linked,symbiont_genera,no_randomizations,p_value,method
Farrell_1998,1998,Plant,Plant,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,resident,21,21,2,21,1,1,21,6,1000,0.07,TreeMap
Gottschling_et_al_2011,2011,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,contact,resident,43,43,40,78,1,1,78,30,1000,0.001,TreeMap
Hendricks_et_al_2013,2013,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,19,19,17,20,1.25,1.25,16,1,1000,0.021,TreeMap
Hosokawa_et_al_2006,2006,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,7,7,3,7,1,1,7,1,1000,0.001,TreeMap
Hugot_1999,1999,Vert,Tetrapod,Invert,Invert,y,Parasite,Endo,horizontal,trophic,resident,10,10,9,11,1,1,11,6,1000,0.001,TreeMap
Hugot_et_al_2003,2003,Vert,Tetrapod,Microbe,Fungus,y,Parasite,Endo,horizontal,contact,resident,19,19,12,19,1,1,19,1,1000,0.001,TreeMap
Huyse_&_Volckaert_2005,2005,Vert,Fish,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,resident,8,8,3,22,1.29,1.29,17,1,100,0.02,TreeMap
IkedaOhtsubo_&_Brune_2009,2009,Microbe,Protist,Microbe,Bacterium,n,Mutualist,Ecto,vertical,vertical,resident,11,11,1,11,1,1,11,1,1000,0.001,TreeMap
Jackson_&_Charleston_1994,1994,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,contact,resident,10,10,8,10,1,1,10,1,100,0.19,TreeMap
Jackson_&_Charleston_1994,1994,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,bodily fluid,resident,10,10,7,10,1,1,10,1,100,0.01,TreeMap
Jackson_&_Charleston_1994,1994,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,contact,resident,11,11,7,12,1,1,12,1,100,0.05,TreeMap
Jackson_&_Charleston_1994,1994,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,bodily fluid,resident,13,13,9,15,1,1,15,1,100,0.18,TreeMap
Jackson_&_Charleston_1994,1994,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,contact,resident,14,14,7,17,1,1,17,1,100,0.01,TreeMap
Jeong_et_al_1999,1999,Plant,Plant,Microbe,Bacterium,n,Mutualist,Endo,horizontal,vector,resident,12,12,12,19,1.06,1,18,1,1000,0.23,TreeMap
Johnson_et_al_2002,2002,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,25,25,23,25,1.32,1.42,19,19,1000,0.23,TreeMap
Johnson_et_al_2003,2003,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,28,28,15,31,1.48,1.33,21,1,100,0.03,TreeMap
Johnson_et_al_2006,2006,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,10,10,NA,11,1,1,11,11,1000,0.402,TreeMap
Jousselin_et_al_2008,2009,Plant,Plant,Invert,Invert,y,Mutualist,Endo,horizontal,autonomous,resident,15,15,1,15,1.07,1.07,14,6,10000,0.01,TreeMap
Jousselin_et_al_2008,2009,Plant,Plant,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,13,13,1,14,1,1,14,1,10000,0.01,TreeMap
Jousselin_et_al_2008,2009,Plant,Plant,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,13,13,1,13,1,1,13,1,10000,0.01,TreeMap
Jousselin_et_al_2008,2009,Plant,Plant,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,16,16,1,18,1.06,1.06,17,2,10000,0.01,TreeMap
Jousselin_et_al_2009,2009,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,55,22,1,22,1,1,22,1,10000,0.001,TreeMap
Kawaida_et_al_2013,2013,Invert,Invert,Plant,Plant,y,Mutualist,Endo,vertical,vertical,resident,6,6,1,6,1,1,6,1,10000,0.0035,TreeMap
Kawakita_et_al_2004,2004,Plant,Plant,Invert,Invert,y,Mutualist,Ecto,horizontal,autonomous,visitor,18,18,1,18,1,1,18,1,999,0.019,TreeMap
Kelley_&_Farrell_1998,1998,Plant,Plant,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,41,41,1,89,6.85,1.92,13,1,100,0.28,TreeMap
Kikuchi_et_al_2009,2009,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,14,14,5,14,1,1,14,1,1000,0.001,TreeMap
Lanterbecq_et_al_2010,2010,Invert,Invert,Invert,Invert,y,Parasite,Endo/Ecto,horizontal,contact,resident,16,16,12,16,1,1,16,5,5000,0.04,TreeMap
Light_&_Hafner_2008,2008,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,44,21,4,21,1,1,21,1,1000,0.001,TreeMap
LimFong_et_al_2008,2008,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,5,5,1,5,1,1,5,2,1000,0.11,TreeMap
Liu_et_al_2013,2013,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,37,37,1,37,1,1,37,1,1000,0.001,TreeMap
Liu_et_al_2014,2014,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,27,27,3,29,1,1,29,1,1000,0.01,TreeMap
LopezVaamonde_et_al_2001,2001,Invert,Invert,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,15,15,1,15,1,1,15,1,1000,0.001,TreeMap
LopezVaamonde_et_al_2003,2003,Plant,Plant,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,33,33,33,77,1,1,77,1,1000,0.213,TreeMap
LopezVaamonde_et_al_2005,2005,Invert,Invert,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,28,28,1,35,2.33,1.33,15,1,1000,0.248,TreeMap
Martin_et_al_1999,1999,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,body fluid,resident,38,38,38,48,1,1,48,1,1000,0.001,TreeMap
Martin_et_al_2003,2003,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,body fluid,resident,14,14,14,16,1,1,16,1,100,0.01,TreeMap
Martin_et_al_2003,2003,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,body fluid,resident,9,9,9,9,1,1,9,1,100,0.05,TreeMap
Martin_et_al_2003,2003,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,body fluid,resident,17,17,17,23,1,1,23,1,100,0.21,TreeMap
Mazzon_et_al_2010,2010,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,17,17,10,17,1.06,1.13,16,3,1000,0.001,TreeMap
Morelli_&_Spicer_2007,2007,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,6,6,6,6,1,1,6,1,10000,0.0095,TreeMap
Muniz_et_al_2013,2013,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,body fluid,resident,17,17,11,17,1,1,17,1,10000,0.00001,TreeMap
Musser_et_al_2010,2010,Vert,Mammal,Invert,Invert,y,Parasite,Ecto,both,contact,resident,6,6,1,6,1,1,6,6,100,0.3,TreeMap
Pagan_et_al_2010,2010,Plant,Plant,Microbe,Virus,n,Parasite,Endo,horizontal,contact,resident,10,10,10,13,1,1,13,1,1000,0.24,TreeMap
Page_1996,1996,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,15,15,6,17,1,1,17,2,1000,0.001,TreeMap
Page_et_al_1998,1998,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,7,7,1,8,1,1,8,1,100,0.01,TreeMap
Page_et_al_2004,2004,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,12,12,4,12,1,1,12,1,1000,0.001,TreeMap
Page_et_al_2004,2004,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,11,11,5,13,1,1,13,4,100,0.25,TreeMap
Page_et_al_2004,2004,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,13,13,5,14,1,1,14,1,100,0.46,TreeMap
Page_et_al_2004,2004,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,9,9,3,9,1,1,9,1,100,0.36,TreeMap
Paterson_&_Poulin_1999,1999,Vert,Fish,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,resident,8,8,8,12,1.2,2.2,10,1,100,0.01,TreeMap
Paterson_et_al_2000,2000,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,11,11,5,14,1,1,14,5,100,0.01,TreeMap
Percy_et_al_2004,2004,Plant,Plant,Invert,Invert,y,Parasite,Ecto,both,autonomous,resident,35,35,8,56,1.22,1.09,46,4,1000,0.005,TreeMap
PerezLosada_et_al_2006,2006,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,NA,resident,9,9,9,11,1,1,11,1,100,0.01,TreeMap
Perlman_et_al_2003,2003,Invert,Invert,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,16,16,1,17,1.89,1.33,9,1,1000,0.14,TreeMap
Quek_et_al_2004,2004,Plant,Plant,Invert,Invert,y,Mutualist,Ecto,horizontal,autonomous,resident,9,9,1,9,1,1,6,1,1000,1,TreeMap
Ramsden_et_al_2008,2008,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,contact,resident,33,33,20,38,1,1,38,1,1000,1,TreeMap
Reed_et_al_2007,2007,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,horizontal,contact,resident,4,4,4,6,1.2,1,5,4,1000,0.05,TreeMap
Refregier_et_al_2008,2008,Plant,Plant,Microbe,Fungus,y,Parasite,Endo,horizontal,vector,resident,18,18,7,20,1.25,1.25,16,1,3000,0.5,TreeMap
Riess_et_al_2018,2018,Plant,Plant,Microbe,Fungus,Y,Parasite,Endo,horizontal,autonomous,resident,11,11,5,11,1,1,11,2,1000,0.335,TreeMap
Shoemaker_et_al_2002,2002,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,both,NA,resident,20,20,7,23,1,1,23,1,100,0.47,TreeMap
Simkova_et_al_2013,2013,Vert,Fish,Invert,Invert,y,Parasite,Ecto,horizontal,autonomous,resident,5,5,1,21,1,1,21,1,999,0.045,TreeMap
Six_&_Paine_1999,1999,Microbe,Fungus,Invert,Invert,y,Mutualist,Ecto,horizontal,vector,resident,6,6,1,6,1,1,6,3,1000,0.031,TreeMap
Skerikova_et_al_2001,2001,Vert,Fish,Invert,Invert,y,Parasite,Endo,horizontal,trophic,resident,7,7,7,7,1,1,7,1,10000,0.4,TreeMap
Smith_et_al_2008b,2008,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,20,20,3,20,1,1,20,14,100,0.05,TreeMap
Sorenson_et_al_2004,2004,Vert,Tetrapod,Vert,Tetrapod,y,Parasite,Ecto,horizontal,autonomous,resident,33,33,10,34,1.62,1.43,21,1,100,0.15,TreeMap
Subbotin_et_al_2004,2004,Plant,Plant,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,16,16,16,21,1,1,21,4,1000,0.001,TreeMap
Switzer_et_al_2005,2005,Vert,Tetrapod,Microbe,Virus,n,Parasite,Endo,horizontal,body fluid,resident,46,46,17,51,1,1,51,1,10000,0.007,TreeMap
Urban_&_Cryan_2012,2012,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,autonomous,resident,40,40,38,40,1,1,40,1,1000,0.001,TreeMap
Urban_&_Cryan_2012,2012,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,autonomous,resident,30,30,29,30,1,1,30,1,1000,0.001,TreeMap
Vanhove_et_al_2015,2015,Vert,Fish,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,19,19,10,28,1,1,28,1,10000,0.0421,TreeMap
Weckstein_2004,2004,Vert,Tetrapod,Invert,Invert,y,Parasite,Ecto,both,contact,resident,11,11,1,11,2.2,1.8,5,1,10000,0.89,TreeMap
Weiblen_&_Bush_2002,2002,Plant,Plant,Invert,Invert,y,Mutualist,Endo,horizontal,autonomous,resident,19,19,1,19,1,1,19,1,10000,0.0195,TreeMap
Weiblen_&_Bush_2002,2002,Plant,Plant,Invert,Invert,y,Parasite,Endo,horizontal,autonomous,resident,12,12,1,18,1,1,18,1,10000,0.1215,TreeMap
Wu_et_al_2008,2008,Plant,Plant,Microbe,Virus,n,Parasite,Endo,horizontal,vector,resident,8,8,8,10,1,1,10,1,100,0.01,TreeMap
Xu_et_al_2017,2017,Invert,Invert,Microbe,Bacterium,n,Mutualist,Endo,vertical,vertical,resident,20,20,8,20,1,1,20,1,1000,0.001,TreeMap
Yan_et_al_2011,2011,Vert,Fish,Microbe,Virus,n,Parasite,Endo,horizontal,contact,resident,8,8,8,15,1,1,15,1,999,0.989,TreeMap
